peakID	mzmed	mzmin	mzmax	rtmin	rtmax	npeaks	all_sample_valid	mzmin_full	mzmax_full	rtmin_full	rtmax_full	isotopes	adduct	pcgroup	medianPurity	i
750	271.2738096451	271.1785400753	271.3149752694	1099.108158797	1229.2980381754	9	1	271.1659545898	271.2269897461	1141.5497980526	1167.2340398008			76	0.1621842502	1724456.26373223
387	208.0625331192	208.0298943133	208.0881356656	39.0368242028	57.6840397519	4	1	207.9520874023	208.1335601807	27.1609216508	54.2895819108			495	0.1616872419	2781376.27554855
136	149.0599595328	149.0599595328	149.0599595328	1124.561823519	1124.561823519	1	0	149.0598754883	149.0600280762	1112.0677434728	1137.5158706313			86	0.1584810804	5764986.26409302
67	126.0374689981	126.0374573191	126.0374806772	231.1793650307	232.5058833934	2	1	126.0342254639	126.0375595093	214.870340671	249.5435599366			607	0.1572104	193555.51259471
228	170.9941579975	170.994144585	170.9941896287	1647.9792761823	1648.4560084134	4	1	170.9939575195	170.9942474365	1633.9549866262	1664.1748464985			169	0.1566877854	5626326.91690678
230	171.1758241131	171.1758058595	171.1758423666	1003.5059241768	1003.7391253415	2	1	171.1743469238	171.1939849854	988.6441692244	1017.0006873795		[M+H]+ 170.168	242	0.154550981	1551955.03822159
140	151.0287699408	151.0269140819	151.0320172318	1644.6476751686	1645.5063486492	4	1	151.0082092285	151.0453643799	1629.9458082765	1661.8671239887			796	0.1543365828	5703876.69053455
88	134.0424153828	134.0274602616	134.057388574	39.0368242028	47.8864286221	4	1	133.9748077393	134.0451660156	25.9963048508	52.340982412		[M+3H-CO2]3+ 443.098	3	0.1536077499	22197223.0029865
336	196.9185045888	196.918492419	196.9185167586	70.0526240228	73.1071511916	2	0	196.9183502197	196.9186248779	54.5004564168	96.7872382609			361	0.1402111925	5730914.49686353
73	130.0178609795	130.0164802584	130.0189642919	1650.396931759	1651.0858753161	4	1	129.9571228027	130.0325317383	1635.0470880644	1665.0379897539			438	0.1393273838	910323.560423672
933	293.2652712322	293.2643689066	293.288166226	1169.7337506132	1229.1295097636	5	0	293.2638244629	293.2648010254	1215.9413867857	1239.8644902938			325	0.1392402033	273232.43726645
314	191.1645472755	191.164511859	191.1645782878	871.3907282232	872.9826778068	4	1	191.1643371582	191.1646118164	858.1057614654	885.6575990719			247	0.1363542966	4847582.54389158
827	280.8991597713	280.8991597713	280.8991597713	1616.0235334138	1616.0235334138	1	0	280.8987426758	280.8995056152	1603.8246795632	1628.9554771906			1154	0.1297826477	415789.245113351
505	235.0136411932	235.0134666791	235.0138157073	124.6129282325	125.9819660031	2	1	234.9177856445	235.0320892334	111.9940617771	136.9548991378		[3M+Na+K]2+ 136.035	4	0.1247823095	962376.471028715
209	166.9165111308	166.9164717794	166.9165848253	1611.242540916	1612.3265740504	4	1	166.916229248	166.9166107178	1596.0500044102	1626.8475306103			131	0.1171569616	1249579.89667589
315	191.1792671332	191.1792514672	191.1792827993	1061.5420801196	1061.7022396507	2	1	191.1645202637	191.1799621582	1047.6432164397	1075.2780632598			783	0.1123596569	4353583.34736985
909	290.9987721257	290.994590327	291.0239148614	1649.4625329914	1735.6453421094	5	1	290.9698486328	291.0241394043	1636.3161921838	1666.1764631539	[111][M+2]+		9	0.1113931404	20273238.6965527
746	270.8889414675	270.8869893845	270.8908935505	1624.982164568	1626.7133180442	2	0	270.8840942383	270.943145752	1611.242540916	1640.7281086255			1289	0.1078389224	456064.123038661
191	163.1281718307	163.1281016912	163.1282419702	962.2280479954	962.563658956	2	1	163.02784729	163.1482391357	949.8369870862	974.762694105		[M+2H-CH2]2+ 338.26 [M+2H-CH3]2+ 339.263	17	0.1050481743	138669444.465115
434	220.9156534708	220.9120478807	220.9192590609	40.4842187826	41.974744971	2	0	220.8869781494	220.9419403076	26.7964445826	51.9101103792		[3M+Na+2K-H]2+ 113.965 [M+K+NaCOOH]+ 113.965	3	0.1018067381	4214725.77548457
82	131.1626727206	131.1626655654	131.1626798759	781.237236491	782.3471897769	2	1	131.1624755859	131.1627655029	767.946360025	795.5909055794	[12][M+1]+		115	0.1001373795	1468953.25639561
457	226.0879029757	226.0260826841	226.1124827141	47.0379706837	151.1830668922	8	1	225.9912567139	226.0985870361	34.0920869826	59.6366295367			754	0.0988674794	4744787.71298095
881	287.9631400159	287.9616737523	287.9646062795	37.4575736496	38.1928975774	2	1	287.9339904785	288.048614502	24.0666766508	49.1301425486			27	0.0984114486	1089430.95210207
126	146.9186113767	146.9185771454	146.918650145	1734.2625215767	1734.9853627105	4	1	146.9184112549	146.9187164307	1719.5698901144	1752.8906182481			569	0.0979902634	1997267.16306278
334	196.0935824834	196.0931557839	196.094009183	247.0617671208	248.5671000705	2	1	195.9912567139	196.1266326904	234.4147815498	259.9051337938		[M+Na]+ 173.106	144	0.0963163216	2265444.8723193
549	244.0914879423	244.0471151788	244.1316573413	47.750632619	57.0338802864	4	1	244.0084075928	244.1264801025	35.2381979826	60.7137084622			8	0.0962776081	134176571.129229
